company,product,series,brand,part_number,country,chassis,main_page,navigate_second,lenovo_chassis,navigate_add_to_cart,model_name,price,discounted_price,discount,processor,operating system,display,memory,hard drive,graphics,camera,bluetooth,warrenty,battery
elpalaciodehierro,tablets,,Apple,,MX,,https://www.elpalaciodehierro.com/electronica/tablets/tablets/,https://www.elpalaciodehierro.com/apple-ipad-mini-7.9-a12-ssd-256-gb-oro-40038286.html,,,"iPad Mini, 7.9', A12, SSD 256 GB, Oro",15449,15449,,Chip A12 Bionic con arquitectura de 64 bits,iOS 12,7.9",,256 GB,,,,,
elpalaciodehierro,tablets,,Apple,,MX,,https://www.elpalaciodehierro.com/electronica/tablets/tablets/,https://www.elpalaciodehierro.com/apple-ipad-mini-7.9-a12-bionic-dd-256-gb-gris-espacial-40038284.html,,,"iPad Mini, 7.9', A12 Bionic, DD 256 GB, Gris Espacial",15449,15449,,Chip A12 Bionic con arquitectura de 64 bits Neural Engine,iOS 12,7.9",,256 GB,,,,,
elpalaciodehierro,laptop,,Asus,,MX,,https://www.elpalaciodehierro.com/electronica/computadoras/laptops/,https://www.elpalaciodehierro.com/asus-laptop-gaming-tuf-dash-f15-15.6-nvidia-geforce-rtx-3070-intel-iris-x-graphics-intel-core-i7-ram-16-gb-ssd-1-tb-gris-41577610.html,,,"Laptop Gaming, TUF Dash F15, 15.6"", NVIDIA GeForce RTX 3070 + Intel Iris X Graphics, Intel Core i7, RAM 16 GB, SSD 1 TB, Gris",53999.1,59999,,Intel Core i7-11370H,Windows 10,15.6",16 GB,SSD 1 TB,"PROCESADOR INTEL CORE I7-11370H, MEMORIA RAM 16GB, DISCO 1TB SSD, GRÁFICOS NVIDIA GEFORCE RTX 3070 + INTEL IRIS Xᵉ GRAPHICS, PANTALLA 15.6'' FHD (1920X1080) 16:9 300NITS",,,"PROCESADOR INTEL CORE I7-11370H, MEMORIA RAM 16GB, DISCO 1TB SSD, GRÁFICOS NVIDIA GEFORCE RTX 3070 + INTEL IRIS Xᵉ GRAPHICS, PANTALLA 15.6'' FHD (1920X1080) 16:9 300NITS",
elpalaciodehierro,laptop,,Asus,,MX,,https://www.elpalaciodehierro.com/electronica/computadoras/laptops/,https://www.elpalaciodehierro.com/asus-laptop-gamer-rog-strix-g712-17.3-nvidia-geforce-gtx-1660-ti-intel-core-i7-10750h-ram-16-gb-dd-1-tb-ssd-41148510.html,,,"Laptop Gamer ROG Strix G712, 17.3"", Nvidia GeForce GTX 1660 Ti, Intel Core i7-10750H, RAM 16 GB, DD 1 TB SSD",40499.1,44999,,Intel Core i7-10750H,Windosw 10,17.3",16 GB,1 TB SSD,GeForce GTX 1660 Ti,,,GeForce GTX 1660 Ti,
elpalaciodehierro,tablets,,Huawei,,MX,,https://www.elpalaciodehierro.com/electronica/tablets/tablets/,https://www.elpalaciodehierro.com/huawei-tablet-matepad-t10s-10.1-kirin-710a-ram-3-gb-rom-64-gb-azul-41447500.html,,,"Tablet MatePad T10s, 10.1"", Kirin 710A, RAM 3 GB, ROM 64 GB, Azul",5039.1,6999,,HUAWEI Kirin 710A CPU: 4 basados en Cortex-A73 a 2.0 GHz + 4 basados en Cortex-A53 a 1.7 GHz,EMUI 10.1 (basado en Android 10),10.1",3 GB,63 GB,,,,,
elpalaciodehierro,tablets,,Kenneth Cole,,MX,,https://www.elpalaciodehierro.com/electronica/tablets/tablets/,https://www.elpalaciodehierro.com/kenneth-cole-portatablet-hombre-40593110.html,,,Portatablet Hombre,999,999,,,,,,,,,,,
elpalaciodehierro,laptop,,Acer,,MX,,https://www.elpalaciodehierro.com/electronica/computadoras/laptops/,https://www.elpalaciodehierro.com/acer-laptop-gamer-predator-triton-500-15.6-nvidia-geforce-rtx-2080-supertm-max-q-8-gb-gddr6-intel-ci7-10875h-ram-32-gb-dd-1-tb-41191327.html,,,"Laptop Gamer Predator Triton 500, 15.6"", Nvidia GeForce RTX 2080 SuperTM Max-Q 8 GB GDDR6, Intel Ci7-10875H, RAM 32 GB, DD 1 TB",88649.1,98499,,Intel Ci7-10875H,Windows Home 10,15.6",32 GB,1 TB,,,,,
elpalaciodehierro,tablets,,Huawei,,MX,,https://www.elpalaciodehierro.com/electronica/tablets/tablets/,https://www.elpalaciodehierro.com/huawei-tablet-matepad-10.4-kirin-810-ram-4-gb-rom-64-gb-gris-41447491.html,,,"Tablet MatePad, 10.4"", Kirin 810, RAM 4 GB, ROM 64 GB, Gris",6119.1,7999,,HUAWEI Kirin 810 UPC: 2 x Cortex-A76 2.27 GHz + 6 x Cortex-A55 1.88 GHz,EMUI 10.1 (basado en Android 10.0),10.4",4 GB,64 GB,,,,,
elpalaciodehierro,laptop,,Asus,,MX,,https://www.elpalaciodehierro.com/electronica/computadoras/laptops/,https://www.elpalaciodehierro.com/asus-laptop-gamer-rog-strix-g-happy-edition-g512-15.6-nvidia-geforce-gtx-1650-ti-intel-core-i5-10300h-ram-16-gb-dd-512-gb-ssd-41148509.html,,,"Laptop Gamer ROG Strix G HAPPY Edition G512, 15.6"", Nvidia GeForce GTX 1650 Ti, Intel Core i5-10300H, RAM 16 GB, DD 512 GB SSD",31499.1,34999,,Intel Core i5-10300H,Windosw 10,15.6",16 GB,512 GB SSD,GeForce GTX 1650 Ti,,,GeForce GTX 1650 Ti,
elpalaciodehierro,laptop,,Dell,,MX,,https://www.elpalaciodehierro.com/electronica/computadoras/laptops/,https://www.elpalaciodehierro.com/dell-laptop-gaming-g7-17-nvida-geforce-rtx-2070-core-i7-10a.-gen.-16-gb-ram-512-ssd-41187351.html,,,"Laptop Gaming G7 17"", NVIDA GEFORCE RTX 2070, Core i7 10a. Gen., 16 GB RAM, 512 SSD",46799.1,51999,,Core i7,WIN 10,17.3",16 GB,512GB CL35 M.2 SSD,,,,,
